name,latitude,longitude,locality,country_code
Gaukendi Bridge,-0.66051,73.11003,Hithadhoo,mv
Honky's,4.31326,73.58419,Kaafu,mv
Isdhoo,2.13291,73.58494,Laamu,mv
Jailbreaks,4.307991,73.576383,Kaafu,mv
Kate's,3.966952,73.506249,Kaafu,mv
Love Charms,0.2657,73.3761,Huvadhu Atoll,mv
Mada's,1.81441,73.39185,Laamu,mv
Malik's,2.2729,72.9291,Thaa,mv
Mikado,2.193,73.11801,Veymandoo,mv
Muli,-0.660482,73.215709,Hithadhoo,mv
Ninjas/Piddlies,4.34353,73.612086,Kaafu,mv
Pasta Point,4.31635,73.59172,North Malé Atoll,mv
Riptides,3.89703,73.47087,Kaafu,mv
Shangri-la,-0.67721,73.19696,Addu,mv
Sultans,4.31347,73.58472,North Malé Atoll,mv
Tiger Stripes,0.28502,73.45277,Gaafu Dhaalu,mv
Two Ways,0.27481,73.35773,Huvadhu Atoll,mv
Yin Yang,1.79999,73.40609,Laamu Atoll,mv
Acapulco,16.82125,-99.90168,Acapulco,mx
Acapulquito,23.024253,-109.716117,San José del Cabo,mx
Anton Lizardo,19.06351,-95.98712,Antón Lizardo,mx
Barra de la Cruz,15.83157,-95.94949,Barra de la Cruz,mx
Barra de Potosi,17.538284,-101.451708,Barra de Potosí,mx
Bucerias,20.74912,-105.33198,Bucerias,mx
Chacahua,15.6849,-96.6251,La Laguna del Palmar,mx
Colotepec,15.80614,-97.01449,Santa María Colotepec,mx
Costa Azul,23.02991,-109.71446,San José del Cabo,mx
Cozumel,20.403165,-86.857581,Cerro Chumul,mx
El Faro,17.922046,-102.16712,Lázaro Cárdenas,mx
Escolleras,17.66346,-101.61967,Ixtapa,mx
La Bocana,15.78887,-96.05027,Santa María Huatulco,mx
La Jolla,15.87532,-95.778,Oaxaca,mx
La Lancha,20.74838,-105.44174,Bahía de Banderas,mx
La Saladita,17.83319,-101.76951,La Unión de Isidoro Montes de Oca,mx
La Ticla,18.453959,-103.558181,La Ticla,mx
Las Gatas,17.62162,-101.553812,Zihuatanejo,mx
Los Frailes,23.38305,-109.42327,Cabo Frailes,mx
Manazillo Bay,17.79472,-101.74503,La Unión de Isidoro Montes de Oca,mx
Neixpa,18.08372,-102.78978,Barra de Nexpa,mx
Nine Palms,23.1749,-109.47748,Cabo Frailes,mx
Nuevo Vallarta,20.68951,-105.29527,Las Jarretaderas,mx
Pascuales,18.8569,-103.96252,Boca de Pascuales,mx
Petacalco,17.980769,-102.102275,Petacalco,mx
Playa Boca Chica,17.1309,-100.6428,Benito Juárez,mx
Playa Bruja,23.30409,-106.49163,Mazatlán,mx
Playa del Borrego,21.5284,-105.28348,San Blas,mx
Playa El Mojon,15.80769,-96.00731,San Miguel del Puerto,mx
Playa Linda,17.695843,-101.647321,San José Ixtapa (Barrio Viejo),mx
Playa Zicatela,15.82993,-97.04696,Brisas de Zicatela,mx
Puerto Escondido,15.84515,-97.0519,Brisas de Zicatela,mx
Puerto Madero,14.72011,-92.42707,Puerto Chiapas,mx
Punta Arena,23.55394,-109.46902,Los Cabos,mx
Punta Burros,20.747992,-105.44479,Bahía de Banderas,mx
Punta Chipehua,16.0287,-95.3728,Playa Chipehua,mx
Punta Conejo,16.13671,-95.24983,Salina Cruz,mx
Revolcadero,16.79102,-99.82531,Puerto Marqués,mx
Rio de Coyula,15.68639,-96.30391,Boca Vieja (Barra Boca Vieja),mx
Salina Cruz,16.13678,-95.24962,Salina Cruz,mx
San Augustin,15.68496,-96.24524,San Agustín,mx
San Pancho,20.90114,-105.41658,San Francisco (San Pancho),mx
San Pedrito,23.36769,-110.20278,El Pescadero,mx
Sayulita,20.871862,-105.439871,Sayulita,mx
Shipwrecks,23.11954,-109.52792,Los Cabos,mx
The Ranch,17.91181,-101.86601,El Entronque de la Unión (Desv. de la Unión),mx
Todos Santos,31.81283,-116.80849,Todos Santos,mx
Troncones,17.78114,-101.72517,Troncones (Emiliano Zapata),mx
Zipolite,15.66336,-96.51989,San Pedro Pochutla,mx
Agadir,30.41186,-9.60411,Agadir,ma
Anchor Point,30.54603,-9.72474,Taghazout,ma
Banana Beach,30.50073,-9.67912,Aourir,ma
Boilers,30.625098,-9.875827,Tigert,ma
